K14018	dme:Dmel_CG5105
K09568	dme:Dmel_CG11001
K01768	dme:Dmel_CG32301
K01187	dme:Dmel_CG8696
K00261	dme:Dmel_CG4434
K00472	dme:Dmel_CG4174
K01310	dme:Dmel_CG6298
K01310	dme:Dmel_CG18179
K01489	dme:Dmel_CG8353
K01230	dme:Dmel_CG31202
K01187	dme:Dmel_CG8690
K00030	dme:Dmel_CG3483
K00699	dme:Dmel_CG5999
K00953	dme:Dmel_CG4407
K00294	dme:Dmel_CG6661
K00507	dme:Dmel_CG7923
K01092	dme:Dmel_CG9389
K00472	dme:Dmel_CG9728
K01425	dme:Dmel_CG42708
K00472	dme:Dmel_CG9720
K00472	dme:Dmel_CG9698
K00472	dme:Dmel_CG1546
K00597	dme:Dmel_CG14882
K00963	dme:Dmel_CG4347
K12505	dme:Dmel_CG10585
K01620	dme:Dmel_CG10184
K01081	dme:Dmel_CG32549
K00876	dme:Dmel_CG4798
K04345	dme:Dmel_CG12066
K00036	dme:Dmel_CG12529
K01047	dme:Dmel_CG3009
K01077	dme:Dmel_CG1462
K00856	dme:Dmel_CG3809
K01183	dme:Dmel_CG9357
K00698	dme:Dmel_CG2666
K01047	dme:Dmel_CG1583
K00949	dme:Dmel_CG14721
K00629	dme:Dmel_CG5508
K01183	dme:Dmel_CG3986
K01290	dme:Dmel_CG7025
K00624	dme:Dmel_CG5122
K01444	dme:Dmel_CG1827
K00624	dme:Dmel_CG1041
K00164	dme:Dmel_CG33791
K00616	dme:Dmel_CG2827
K01277	dme:Dmel_CG7415
K01803	dme:Dmel_CG2171
K01512	dme:Dmel_CG11052
K00472	dme:Dmel_CG31014
K00472	dme:Dmel_CG31016
K00472	dme:Dmel_CG31017
K00699	dme:Dmel_CG4302
K00710	dme:Dmel_CG2103
K00799	dme:Dmel_CG10091
K00799	dme:Dmel_CG18548
K01512	dme:Dmel_CG10970
K00799	dme:Dmel_CG17639
K00501	dme:Dmel_CG10118
K00030	dme:Dmel_CG32026
K01014	dme:Dmel_CG16733
K01785	dme:Dmel_CG32445
K01365	dme:Dmel_CG11459
K01251	dme:Dmel_CG8956
K00710	dme:Dmel_CG31956
K01079	dme:Dmel_CG3705
K00934	dme:Dmel_CG4546
K01593	dme:Dmel_CG10697
K01349	dme:Dmel_CG18734
K00507	dme:Dmel_CG15531
K00757	dme:Dmel_CG17224
K00507	dme:Dmel_CG5925
K00764	dme:Dmel_CG10078
K00934	dme:Dmel_CG32031
K01104	dme:Dmel_CG10975
K00844	dme:Dmel_CG32849
K07766	dme:Dmel_CG6391
K00615	dme:Dmel_CG8036
K00901	dme:Dmel_CG34384
K01204	dme:Dmel_CG5731
K01596	dme:Dmel_CG17725
K10270	dme:Dmel_CG1839
K10272	dme:Dmel_CG13213
K10273	dme:Dmel_CG4221
K10281	dme:Dmel_CG8873
K10282	dme:Dmel_CG32085
K11093	dme:Dmel_CG8749
K01464	dme:Dmel_CG1411
K05940	dme:Dmel_CG12428
K01115	dme:Dmel_CG12110
K00030	dme:Dmel_CG12233
K01230	dme:Dmel_CG42275
K01092	dme:Dmel_CG9391
K00799	dme:Dmel_CG12242
K00844	dme:Dmel_CG3001
K01895	dme:Dmel_CG9390
K01081	dme:Dmel_CG11883
K00710	dme:Dmel_CG3254
K00261	dme:Dmel_CG5320
K00873	dme:Dmel_CG7070
K00901	dme:Dmel_CG34361
K00001	dme:Dmel_CG3481
K00710	dme:Dmel_CG31776
K00846	dme:Dmel_CG7335
K01080	dme:Dmel_CG8805
K00901	dme:Dmel_CG31140
K10776	dme:Dmel_CG17227
K10777	dme:Dmel_CG12176
K12668	dme:Dmel_CG13393
K00911	dme:Dmel_CG45017
K01756	dme:Dmel_CG3590
K01283	dme:Dmel_CG10142
K01672	dme:Dmel_CG3669
K00799	dme:Dmel_CG33546
K01077	dme:Dmel_CG5361
K01672	dme:Dmel_CG3940
K00699	dme:Dmel_CG4414
K00699	dme:Dmel_CG31002
K00277	dme:Dmel_CG11335
K00129	dme:Dmel_CG11140
K01087	dme:Dmel_CG5171
K01137	dme:Dmel_CG30059
K00699	dme:Dmel_CG15661
K00799	dme:Dmel_CG11784
K00852	dme:Dmel_CG17010
K00115	dme:Dmel_CG12398
K00627	dme:Dmel_CG5261
K01195	dme:Dmel_CG15117
K00850	dme:Dmel_CG4001
K00011	dme:Dmel_CG6084
K00864	dme:Dmel_CG18374
K01047	dme:Dmel_CG17035
K00698	dme:Dmel_CG7464
K01768	dme:Dmel_CG32305
K01870	dme:Dmel_CG11471
K01183	dme:Dmel_CG30293
K00016	dme:Dmel_CG13334
K00873	dme:Dmel_CG7362
K01409	dme:Dmel_CG14231
K00699	dme:Dmel_CG17932
K00327	dme:Dmel_CG11567
K00503	dme:Dmel_CG1543
K00699	dme:Dmel_CG15902
K00699	dme:Dmel_CG6658
K01183	dme:Dmel_CG18140
K00699	dme:Dmel_CG4772
K01611	dme:Dmel_CG5029
K00699	dme:Dmel_CG17200
K00699	dme:Dmel_CG6653
K00623	dme:Dmel_CG12345
K03875	dme:Dmel_CG9772
K01755	dme:Dmel_CG9510
K03234	dme:Dmel_CG2238
K10582	dme:Dmel_CG2924
K02207	dme:Dmel_CG7656
K10583	dme:Dmel_CG8188
K06640	dme:Dmel_CG4252
K07297	dme:Dmel_CG5315
K10592	dme:Dmel_CG8184
K05633	dme:Dmel_CG4244
K08735	dme:Dmel_CG4215
K10837	dme:Dmel_CG12788
K10572	dme:Dmel_CG30295
K03680	dme:Dmel_CG10315
K02089	dme:Dmel_CG5072
K02153	dme:Dmel_CG7625
K01772	dme:Dmel_CG2098
K01953	dme:Dmel_CG33486
K00011	dme:Dmel_CG12766
K00011	dme:Dmel_CG10863
K00763	dme:Dmel_CG3714
K00699	dme:Dmel_CG10178
K01887	dme:Dmel_CG10092
K03341	dme:Dmel_CG1427
K01823	dme:Dmel_CG5919
K01217	dme:Dmel_CG6201
K00710	dme:Dmel_CG7579
K00764	dme:Dmel_CG2867
K00710	dme:Dmel_CG7297
K06630	dme:Dmel_CG31196
K07364	dme:Dmel_CG8049
K00861	dme:Dmel_CG2846
K10704	dme:Dmel_CG10640
K00164	dme:Dmel_CG11661
K00011	dme:Dmel_CG9436
K00699	dme:Dmel_CG6475
K00873	dme:Dmel_CG2964
K01084	dme:Dmel_CG15400
K00639	dme:Dmel_CG10361
K00002	dme:Dmel_CG2767
K00710	dme:Dmel_CG10000
K00699	dme:Dmel_CG6644
K00604	dme:Dmel_CG1750
K01262	dme:Dmel_CG6225
K01047	dme:Dmel_CG11124
K00326	dme:Dmel_CG5946
K00799	dme:Dmel_CG4688
K10588	dme:Dmel_CG5087
K01092	dme:Dmel_CG17026
K00911	dme:Dmel_CG4026
K26076	dme:Dmel_CG3732
K04405	dme:Dmel_CG10610
K01135	dme:Dmel_CG8646
K01183	dme:Dmel_CG9307
K00036	dme:Dmel_CG7140
K01136	dme:Dmel_CG12014
K00505	dme:Dmel_CG42640
K01462	dme:Dmel_CG31278
K00846	dme:Dmel_CG7551
K01196	dme:Dmel_CG9485
K01183	dme:Dmel_CG3044
K00432	dme:Dmel_CG15116
K01931	dme:Dmel_CG11988
K01104	dme:Dmel_CG18243
K00699	dme:Dmel_CG3797
K01080	dme:Dmel_CG11440
K10746	dme:Dmel_CG10387
K01183	dme:Dmel_CG10531
K01441	dme:Dmel_CG13969
K01365	dme:Dmel_CG6692
K17710	dme:Dmel_CG4611
K19951	dme:Dmel_CG7324
K00500	dme:Dmel_CG7399
K00799	dme:Dmel_CG17523
K00799	dme:Dmel_CG17524
K00031	dme:Dmel_CG7176
K00072	dme:Dmel_CG12116
K00799	dme:Dmel_CG17525
K00799	dme:Dmel_CG17527
K01897	dme:Dmel_CG3961
K00507	dme:Dmel_CG8630
K00799	dme:Dmel_CG17531
K00472	dme:Dmel_CG32201
K01520	dme:Dmel_CG4584
K01201	dme:Dmel_CG31414
K01530	dme:Dmel_CG33298
K00710	dme:Dmel_CG7304
K01469	dme:Dmel_CG4752
K00286	dme:Dmel_CG5840
K00864	dme:Dmel_CG1216
K05931	dme:Dmel_CG5358
K01183	dme:Dmel_CG1869
K01194	dme:Dmel_CG9364
K00472	dme:Dmel_CG32199
K09097	dme:Dmel_CG11987
K00846	dme:Dmel_CG12289
K02520	dme:Dmel_CG13163
K00854	dme:Dmel_CG3534
K01785	dme:Dmel_CG32444
K01283	dme:Dmel_CG8196
K00873	dme:Dmel_CG11249
K10842	dme:Dmel_CG7614
K10844	dme:Dmel_CG9433
K00472	dme:Dmel_CG15539
K00809	dme:Dmel_CG8005
K03538	dme:Dmel_CG8038
K00472	dme:Dmel_CG34345
K07199	dme:Dmel_CG8057
K02980	dme:Dmel_CG8495
K00472	dme:Dmel_CG31015
K03671	dme:Dmel_CG8517
K02949	dme:Dmel_CG8857
K00232	dme:Dmel_CG9709
K01283	dme:Dmel_CG16869
K01512	dme:Dmel_CG18371
K01201	dme:Dmel_CG31148
K01135	dme:Dmel_CG7402
K01283	dme:Dmel_CG17988
K01080	dme:Dmel_CG11438
K01080	dme:Dmel_CG11437
K01080	dme:Dmel_CG11426
K00728	dme:Dmel_CG6097
K00472	dme:Dmel_CG18749
K01080	dme:Dmel_CG11425
K00864	dme:Dmel_CG8298
K01431	dme:Dmel_CG3027
K00011	dme:Dmel_CG6083
K00757	dme:Dmel_CG3788
K00318	dme:Dmel_CG1417
K01069	dme:Dmel_CG4365
K00889	dme:Dmel_CG17471
K01446	dme:Dmel_CG8577
K05357	dme:Dmel_CG33544
K01930	dme:Dmel_CG31773
K01044	dme:Dmel_CG34139
K00757	dme:Dmel_CG6330
K00799	dme:Dmel_CG17522
K00940	dme:Dmel_CG15547
K01462	dme:Dmel_CG31373
K00738	dme:Dmel_CG17173
K03504	dme:Dmel_CG3975
K10742	dme:Dmel_CG2990
K00873	dme:Dmel_CG12229
K00507	dme:Dmel_CG9747
K00507	dme:Dmel_CG9743
K01768	dme:Dmel_CG5983
K00799	dme:Dmel_CG1681
K00844	dme:Dmel_CG33102
K00472	dme:Dmel_CG31524
K00789	dme:Dmel_CG2674
K01897	dme:Dmel_CG8732
K01875	dme:Dmel_CG31133
K01876	dme:Dmel_CG31739
K07512	dme:Dmel_CG16935
K10260	dme:Dmel_CG15010
K10843	dme:Dmel_CG8019
K02206	dme:Dmel_CG10498
K11262	dme:Dmel_CG11198
K06709	dme:Dmel_CG15835
K11124	dme:Dmel_CG6369
K03424	dme:Dmel_CG3358
K03424	dme:Dmel_CG3308
K11414	dme:Dmel_CG3187
K11433	dme:Dmel_CG4565
K01539	dme:Dmel_CG5670
K11313	dme:Dmel_CG3169
K11316	dme:Dmel_CG6506
K10863	dme:Dmel_CG5316
K00731	dme:Dmel_CG9520
K06672	dme:Dmel_CG17704
K11310	dme:Dmel_CG12182
K15290	dme:Dmel_CG3139
K03386	dme:Dmel_CG1274
K03355	dme:Dmel_CG31687
K15323	dme:Dmel_CG33260
K15322	dme:Dmel_CG31812
K11128	dme:Dmel_CG4038
K13528	dme:Dmel_CG18780
K11416	dme:Dmel_CG6284
K11417	dme:Dmel_CG11305
K11418	dme:Dmel_CG31119
K11420	dme:Dmel_CG2995
K03678	dme:Dmel_CG9606
K00232	dme:Dmel_CG9707
K11099	dme:Dmel_CG9742
K09270	dme:Dmel_CG15552
K04565	dme:Dmel_CG9027
K11421	dme:Dmel_CG12196
K06072	dme:Dmel_CG2245
K11424	dme:Dmel_CG4976
K11429	dme:Dmel_CG13363
K11430	dme:Dmel_CG6502
K02262	dme:Dmel_CG34074
K11125	dme:Dmel_CG8954
K02607	dme:Dmel_CG7833
K10626	dme:Dmel_CG9086
K02514	dme:Dmel_CG4451
K02925	dme:Dmel_CG4863
K10660	dme:Dmel_CG9855
K10846	dme:Dmel_CG10890
K10847	dme:Dmel_CG6358
K04649	dme:Dmel_CG8284
K10645	dme:Dmel_CG5841
K10649	dme:Dmel_CG31721
K10661	dme:Dmel_CG1317
K02923	dme:Dmel_CG18001
K10601	dme:Dmel_CG1937
K10606	dme:Dmel_CG12812
K03348	dme:Dmel_CG9198
K10631	dme:Dmel_CG15104
K10611	dme:Dmel_CG8998
K10612	dme:Dmel_CG1401
K10643	dme:Dmel_CG31716
K03868	dme:Dmel_CG16988
K10609	dme:Dmel_CG8711
K03351	dme:Dmel_CG32707
K03354	dme:Dmel_CG14444
K10610	dme:Dmel_CG7769
K11308	dme:Dmel_CG3025
K11279	dme:Dmel_CG5330
K11321	dme:Dmel_CG14514
K01446	dme:Dmel_CG14745
K01446	dme:Dmel_CG14746
K11322	dme:Dmel_CG7776
K11298	dme:Dmel_CG4617
K11427	dme:Dmel_CG42803
K11251	dme:Dmel_CG31618
K03935	dme:Dmel_CG11913
K11317	dme:Dmel_CG31865
K02267	dme:Dmel_CG14235
K00415	dme:Dmel_CG4169
K00167	dme:Dmel_CG17691
K04255	dme:Dmel_CG5279
K10414	dme:Dmel_CG15148
K10908	dme:Dmel_CG4644
K05687	dme:Dmel_CG6646
K10417	dme:Dmel_CG3769
K10416	dme:Dmel_CG1938
K03781	dme:Dmel_CG9314
K02153	dme:Dmel_CG1268
K10456	dme:Dmel_CG3962
K01968	dme:Dmel_CG2118
K02148	dme:Dmel_CG8048
K10485	dme:Dmel_CG8411
K10407	dme:Dmel_CG5433
K10409	dme:Dmel_CG9313
K10410	dme:Dmel_CG6971
K10411	dme:Dmel_CG8800
K10412	dme:Dmel_CG8407
K10413	dme:Dmel_CG7507
K10364	dme:Dmel_CG10540
K10365	dme:Dmel_CG17158
K10389	dme:Dmel_CG17566
K10389	dme:Dmel_CG3157
K00162	dme:Dmel_CG11876
K10396	dme:Dmel_CG7765
K10398	dme:Dmel_CG9191
K10401	dme:Dmel_CG10923
K10405	dme:Dmel_CG7831
K11374	dme:Dmel_CG11887
K03115	dme:Dmel_CG15224
K03115	dme:Dmel_CG33242
K10358	dme:Dmel_CG5695
K02154	dme:Dmel_CG1709
K02144	dme:Dmel_CG17332
K03661	dme:Dmel_CG7026
K10727	dme:Dmel_CG8171
K10756	dme:Dmel_CG6258
K10761	dme:Dmel_CG4103
K03019	dme:Dmel_CG33785
K11883	dme:Dmel_CG2972
K10359	dme:Dmel_CG7595
K10361	dme:Dmel_CG43657
K03005	dme:Dmel_CG18600
K00236	dme:Dmel_CG6666
K10052	dme:Dmel_CG4354
K01519	dme:Dmel_CG8891
K08873	dme:Dmel_CG32743
K06530	dme:Dmel_CG7052
K08288	dme:Dmel_CG6453
K08054	dme:Dmel_CG9906
K05960	dme:Dmel_CG8201
K04380	dme:Dmel_CG45110
K07375	dme:Dmel_CG9359
K10105	dme:Dmel_CG44243
K01027	dme:Dmel_CG1140
K02157	dme:Dmel_CG7926
K04381	dme:Dmel_CG31641
K04729	dme:Dmel_CG2078
K04432	dme:Dmel_CG12244
K11140	dme:Dmel_CG11951
K01254	dme:Dmel_CG10602
K11140	dme:Dmel_CG11956
K07342	dme:Dmel_CG14214
K08794	dme:Dmel_CG1495
K02649	dme:Dmel_CG2699
K08267	dme:Dmel_CG8002
K05956	dme:Dmel_CG18627
K11282	dme:Dmel_CG3708
K11319	dme:Dmel_CG6632
K11141	dme:Dmel_CG32473
K11436	dme:Dmel_CG6563
K02516	dme:Dmel_CG3730
K11438	dme:Dmel_CG9882
K08793	dme:Dmel_CG32944
K06528	dme:Dmel_CG3305
K03024	dme:Dmel_CG33051
K04082	dme:Dmel_CG34246
K05542	dme:Dmel_CG3645
K11341	dme:Dmel_CG9207
K00411	dme:Dmel_CG7361
K00029	dme:Dmel_CG10120
K00029	dme:Dmel_CG5889
K00029	dme:Dmel_CG7848
K00029	dme:Dmel_CG7964
K00029	dme:Dmel_CG7969
K03958	dme:Dmel_CG40002
K11426	dme:Dmel_CG13761
K00234	dme:Dmel_CG5718
K01647	dme:Dmel_CG14740
K11411	dme:Dmel_CG5216
K11108	dme:Dmel_CG11130
K11468	dme:Dmel_CG12190
K03860	dme:Dmel_CG32578
K11406	dme:Dmel_CG1770
K11412	dme:Dmel_CG5085
K09699	dme:Dmel_CG5599
K11253	dme:Dmel_CG8989
K08049	dme:Dmel_CG9210
K03352	dme:Dmel_CG10850
K03358	dme:Dmel_CG34440
K11254	dme:Dmel_CG3379
K11254	dme:Dmel_CG33869
K11254	dme:Dmel_CG33871
K11254	dme:Dmel_CG33873
K11254	dme:Dmel_CG33875
K11254	dme:Dmel_CG33877
K11254	dme:Dmel_CG33879
K11254	dme:Dmel_CG33881
K11254	dme:Dmel_CG33883
K11254	dme:Dmel_CG33885
K11254	dme:Dmel_CG33887
K11254	dme:Dmel_CG33889
K11254	dme:Dmel_CG33891
K11254	dme:Dmel_CG33893
K11254	dme:Dmel_CG33895
K11254	dme:Dmel_CG33897
K11254	dme:Dmel_CG33899
K11254	dme:Dmel_CG33901
K11254	dme:Dmel_CG33903
K11254	dme:Dmel_CG33905
K11254	dme:Dmel_CG33907
K11254	dme:Dmel_CG33909
K11224	dme:Dmel_CG4257
K06671	dme:Dmel_CG3423
K00643	dme:Dmel_CG3017
K15305	dme:Dmel_CG5608
K14008	dme:Dmel_CG6766
K06670	dme:Dmel_CG17436
K11669	dme:Dmel_CG18004
K11672	dme:Dmel_CG7940
K08738	dme:Dmel_CG13263
K03131	dme:Dmel_CG10390
K14010	dme:Dmel_CG11642
K14011	dme:Dmel_CG5469
K10749	dme:Dmel_CG3183
K11141	dme:Dmel_CG8773
K11143	dme:Dmel_CG6053
K09186	dme:Dmel_CG8651
K11268	dme:Dmel_CG8598
K11585	dme:Dmel_CG8120
K08866	dme:Dmel_CG7643
K11594	dme:Dmel_CG9748
K11584	dme:Dmel_CG7913
K11584	dme:Dmel_CG5643
K11585	dme:Dmel_CG7041
K11590	dme:Dmel_CG8208
K02734	dme:Dmel_CG17302
K11579	dme:Dmel_CG18729
K02156	dme:Dmel_CG40300
K11592	dme:Dmel_CG4792
K11583	dme:Dmel_CG4733
K10275	dme:Dmel_CG8272
K04569	dme:Dmel_CG17753
K11324	dme:Dmel_CG11132
K01537	dme:Dmel_CG32451
K11407	dme:Dmel_CG6170
K11461	dme:Dmel_CG9495
K11456	dme:Dmel_CG3895
K01834	dme:Dmel_CG1721
K01908	dme:Dmel_CG6432
K04441	dme:Dmel_CG33338
K01466	dme:Dmel_CG6106
K01874	dme:Dmel_CG15100
K01874	dme:Dmel_CG31322
K09188	dme:Dmel_CG3848
K00868	dme:Dmel_CG34455
K11404	dme:Dmel_CG2128
K11422	dme:Dmel_CG40351
K00972	dme:Dmel_CG9535
K06279	dme:Dmel_CG3715
K04506	dme:Dmel_CG13030
K12114	dme:Dmel_CG14029
K10374	dme:Dmel_CG4843
K10373	dme:Dmel_CG4898
K09057	dme:Dmel_CG17888
K04536	dme:Dmel_CG10545
K12319	dme:Dmel_CG1470
K12236	dme:Dmel_CG3647
K12185	dme:Dmel_CG1115
K12172	dme:Dmel_CG11856
K12272	dme:Dmel_CG33162
K12303	dme:Dmel_CG15438
K12349	dme:Dmel_CG1471
K12350	dme:Dmel_CG3376
K12351	dme:Dmel_CG12034
K12353	dme:Dmel_CG6962
K01900	dme:Dmel_CG10622
K11306	dme:Dmel_CG11290
K11090	dme:Dmel_CG10922
K02127	dme:Dmel_CG8189
K15296	dme:Dmel_CG6625
K02966	dme:Dmel_CG5338
K10249	dme:Dmel_CG11801
K10249	dme:Dmel_CG32072
K07178	dme:Dmel_CG11660
K11584	dme:Dmel_CG32568
K01373	dme:Dmel_CG12163
K06129	dme:Dmel_CG31683
K10758	dme:Dmel_CG31413
K11651	dme:Dmel_CG7055
K04496	dme:Dmel_CG7583
K06997	dme:Dmel_CG1983
K10632	dme:Dmel_CG5555
K11996	dme:Dmel_CG13090
K00922	dme:Dmel_CG4141
K10571	dme:Dmel_CG6093
K11803	dme:Dmel_CG3313
K12318	dme:Dmel_CG1912
K11147	dme:Dmel_CG10672
K11587	dme:Dmel_CG8409
K11804	dme:Dmel_CG8001
K11790	dme:Dmel_CG11295
K11789	dme:Dmel_CG10080
K11671	dme:Dmel_CG11970
K12323	dme:Dmel_CG31183
K24200	dme:Dmel_CG12787
K11188	dme:Dmel_CG3083
K04802	dme:Dmel_CG10262
K10949	dme:Dmel_CG5183
K11252	dme:Dmel_CG17949
K11141	dme:Dmel_CG8774
K11140	dme:Dmel_CG31233
K11251	dme:Dmel_CG5499
K02178	dme:Dmel_CG7838
K11578	dme:Dmel_CG9900
K10415	dme:Dmel_CG32823
K10415	dme:Dmel_CG33497
K10415	dme:Dmel_CG33499
K10415	dme:Dmel_CG9580
K11064	dme:Dmel_CG4615
K08042	dme:Dmel_CG7978
K10956	dme:Dmel_CG9539
K11204	dme:Dmel_CG2259
K11086	dme:Dmel_CG5352
K06631	dme:Dmel_CG12306
K10172	dme:Dmel_CG7260
K12667	dme:Dmel_CG6370
K01679	dme:Dmel_CG6140
K11129	dme:Dmel_CG5258
K11130	dme:Dmel_CG7637
K10901	dme:Dmel_CG6920
K11205	dme:Dmel_CG4919
K11166	dme:Dmel_CG7601
K08863	dme:Dmel_CG7186
K03094	dme:Dmel_CG8881
K06101	dme:Dmel_CG8887
K10276	dme:Dmel_CG11033
K10695	dme:Dmel_CG5595
K09201	dme:Dmel_CG17743
K08731	dme:Dmel_CG12265
K03783	dme:Dmel_CG16758
K11095	dme:Dmel_CG5454
K11087	dme:Dmel_CG10753
K11088	dme:Dmel_CG8427
K11097	dme:Dmel_CG18591
K11098	dme:Dmel_CG16792
K01681	dme:Dmel_CG9244
K01681	dme:Dmel_CG4900
K11092	dme:Dmel_CG1406
K01679	dme:Dmel_CG31874
K01679	dme:Dmel_CG4095
K11096	dme:Dmel_CG1249
K11131	dme:Dmel_CG3333
K11135	dme:Dmel_CG11180
K11136	dme:Dmel_CG4078
K07190	dme:Dmel_CG7766
K07190	dme:Dmel_CG8475
K03858	dme:Dmel_CG14463
K10876	dme:Dmel_CG4049
K11252	dme:Dmel_CG33868
K11252	dme:Dmel_CG33870
K11252	dme:Dmel_CG33872
K11252	dme:Dmel_CG33874
K11252	dme:Dmel_CG33876
K11252	dme:Dmel_CG33878
K11252	dme:Dmel_CG33880
K11252	dme:Dmel_CG33882
K11252	dme:Dmel_CG33884
K11252	dme:Dmel_CG33886
K11252	dme:Dmel_CG33888
K11252	dme:Dmel_CG33890
K11252	dme:Dmel_CG33892
K11252	dme:Dmel_CG33894
K11252	dme:Dmel_CG33896
K11252	dme:Dmel_CG33898
K11252	dme:Dmel_CG33900
K11252	dme:Dmel_CG33902
K11252	dme:Dmel_CG33904
K11252	dme:Dmel_CG33906
K11252	dme:Dmel_CG33908
K11252	dme:Dmel_CG33910
K11253	dme:Dmel_CG31613
K10896	dme:Dmel_CG7922
K03109	dme:Dmel_CG8268
K04354	dme:Dmel_CG6235
K10865	dme:Dmel_CG16928
K11142	dme:Dmel_CG32351
K10866	dme:Dmel_CG6339
K10891	dme:Dmel_CG17269
K11140	dme:Dmel_CG14516
K11254	dme:Dmel_CG31611
K11173	dme:Dmel_CG3425
K10745	dme:Dmel_CG30105
K01681	dme:Dmel_CG4706
K02151	dme:Dmel_CG1076
K02137	dme:Dmel_CG4307
K11266	dme:Dmel_CG4203
K10393	dme:Dmel_CG1453
K10393	dme:Dmel_CG12192
K10393	dme:Dmel_CG3219
K10867	dme:Dmel_CG6754
K10875	dme:Dmel_CG3736
K11253	dme:Dmel_CG5825
K00753	dme:Dmel_CG6869
K11253	dme:Dmel_CG33803
K11253	dme:Dmel_CG33806
K11253	dme:Dmel_CG33809
K11253	dme:Dmel_CG33812
K11253	dme:Dmel_CG33815
K11253	dme:Dmel_CG33818
K11253	dme:Dmel_CG33821
K11253	dme:Dmel_CG33824
K11253	dme:Dmel_CG33827
K11253	dme:Dmel_CG33830
K11253	dme:Dmel_CG33833
K11253	dme:Dmel_CG33836
K10902	dme:Dmel_CG4879
K11253	dme:Dmel_CG33839
K11253	dme:Dmel_CG33842
K11253	dme:Dmel_CG33845
K11253	dme:Dmel_CG33848
K11253	dme:Dmel_CG33851
K11253	dme:Dmel_CG33854
K11253	dme:Dmel_CG33857
K11253	dme:Dmel_CG33860
K11253	dme:Dmel_CG33863
K11253	dme:Dmel_CG33866
K01681	dme:Dmel_CG6342
K11267	dme:Dmel_CG17509
K10903	dme:Dmel_CG2525
K10408	dme:Dmel_CG17866
K11343	dme:Dmel_CG13746
K03111	dme:Dmel_CG4337
K11274	dme:Dmel_CG13350
K11278	dme:Dmel_CG7917
K03009	dme:Dmel_CG34186
K11271	dme:Dmel_CG11788
K03783	dme:Dmel_CG18128
K10885	dme:Dmel_CG18801
K10878	dme:Dmel_CG7753
K10880	dme:Dmel_CG3325
K10881	dme:Dmel_CG13779
K11315	dme:Dmel_CG7098
K10895	dme:Dmel_CG13745
K11303	dme:Dmel_CG2051
K11304	dme:Dmel_CG6121
K11279	dme:Dmel_CG5017
K11338	dme:Dmel_CG9750
K11344	dme:Dmel_CG12756
K11251	dme:Dmel_CG33808
K11251	dme:Dmel_CG33814
K11251	dme:Dmel_CG33817
K11251	dme:Dmel_CG33820
K11251	dme:Dmel_CG33823
K11251	dme:Dmel_CG33826
K11251	dme:Dmel_CG33829
K11251	dme:Dmel_CG33832
K11251	dme:Dmel_CG33835
K11251	dme:Dmel_CG33838
K11251	dme:Dmel_CG33841
K11251	dme:Dmel_CG33844
K11251	dme:Dmel_CG33847
K11251	dme:Dmel_CG33850
K11251	dme:Dmel_CG33853
K11251	dme:Dmel_CG33856
K11251	dme:Dmel_CG33859
K11251	dme:Dmel_CG33862
K11251	dme:Dmel_CG33865
K10884	dme:Dmel_CG5247
K03036	dme:Dmel_CG10149
K00006	dme:Dmel_CG9042
K11317	dme:Dmel_CG31866
K02135	dme:Dmel_CG31477
K03962	dme:Dmel_CG13240
K11273	dme:Dmel_CG11403
K08874	dme:Dmel_CG33554
K02153	dme:Dmel_CG11589
K11269	dme:Dmel_CG33122
K11270	dme:Dmel_CG34001
K02273	dme:Dmel_CG7181
K03942	dme:Dmel_CG11423
K03942	dme:Dmel_CG8102
K02153	dme:Dmel_CG14909
K11290	dme:Dmel_CG4299
K05863	dme:Dmel_CG1683
K11275	dme:Dmel_CG33801
K11275	dme:Dmel_CG33804
K11275	dme:Dmel_CG33807
K11275	dme:Dmel_CG33810
K11275	dme:Dmel_CG33813
K11275	dme:Dmel_CG33816
K11275	dme:Dmel_CG33819
K11275	dme:Dmel_CG33822
K11275	dme:Dmel_CG33825
K11275	dme:Dmel_CG33828
K11275	dme:Dmel_CG33831
K11275	dme:Dmel_CG33834
K11275	dme:Dmel_CG33837
K11275	dme:Dmel_CG33840
K11275	dme:Dmel_CG33843
K11275	dme:Dmel_CG33846
K11275	dme:Dmel_CG33849
K11275	dme:Dmel_CG33852
K11275	dme:Dmel_CG33855
K11275	dme:Dmel_CG33858
K11275	dme:Dmel_CG33861
K11275	dme:Dmel_CG33864
K11292	dme:Dmel_CG12225
K11293	dme:Dmel_CG12153
K11307	dme:Dmel_CG5229
K11275	dme:Dmel_CG31617
K03955	dme:Dmel_CG9160
K14688	dme:Dmel_CG17723
K07555	dme:Dmel_CG10340
K07817	dme:Dmel_CG31795
K09201	dme:Dmel_CG3445
K00665	dme:Dmel_CG17374
K00665	dme:Dmel_CG3523
K00665	dme:Dmel_CG3524
K10317	dme:Dmel_CG6758
K00106	dme:Dmel_CG7642
K06676	dme:Dmel_CG10726
K06678	dme:Dmel_CG34438
K11491	dme:Dmel_CG31989
K11498	dme:Dmel_CG33694
K01900	dme:Dmel_CG11963
K11488	dme:Dmel_CG4195
K11485	dme:Dmel_CG5109
K11517	dme:Dmel_CG18003
K11493	dme:Dmel_CG10480
K16330	dme:Dmel_CG2794
K11498	dme:Dmel_CG6392
K00746	dme:Dmel_CG12913
